RowID,OrderID,OrderDate,OrderMonthYear,Quantity,Quote,Discount,Rate,SaleAmount,CustomerName,CompanyName,Sector,Industry,City,ZipCode,State,Region,ProjectCompleteDate,DaysToComplete,ProductKey,ProductCategory,ProductSubCategory,Consultant,Manager,HourlyWage,RowCount,WageMargin
13,69,6/3/2009,6/1/2009,28,3360,0.03,120,3259.2,Jonathan Akin,NVIDIA Corporation,Technology,Semiconductors,Garner,27529,North Carolina,South,6/5/2009,2,Development - Business Logic,Development,Business Logic,Ethan Bird,Frank Mitchell,60,1,0.5
14,70,12/17/2010,12/1/2010,48,6720,0.03,140,6518.4,Helen Kimmel,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),East Meadow,11554,New York,East,12/22/2010,5,Development - Database,Development,Database,Sophia Dixon,Allen Young,71,1,0.49
15,70,12/17/2010,12/1/2010,46,6900,0.05,150,6555,Helen Kimmel,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),East Meadow,11554,New York,East,12/22/2010,5,Consulting - Market Research,Consulting,Market Research,Emma Watson,Allen Young,67,1,0.55
16,96,4/16/2009,4/1/2009,37,5550,0.01,150,5494.5,Keith Beeghly,Altera Corporation,Technology,Semiconductors,Little Rock,72209,Arkansas,South,4/18/2009,2,Consulting - Market Research,Consulting,Market Research,Jayden Hamilton,Frank Mitchell,71,1,0.53
17,97,1/28/2010,1/1/2010,26,5200,0.03,200,5044,Craig Donatelli,"O'Reilly Automotive, Inc.",Consumer Services,Other Specialty Stores,Prescott Valley,86314,Arizona,West,1/29/2010,1,Development - Scala,Development,Scala,Daniel Tusk,Bob Turner,45,1,0.78
18,129,11/18/2012,11/1/2012,4,440,0.09,110,400.4,Pauline Wardle,"Mattel, Inc.",Consumer Non-Durables,Recreational Products/Toys,Moore,73160,Oklahoma,Central,11/27/2012,9,Development - Python,Development,Python,Daniel Tusk,Josh Martinez,45,1,0.59
19,130,5/7/2012,5/1/2012,3,450,0.05,150,427.5,Roy Smith,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Cleveland,37311,Tennessee,South,5/9/2012,2,Consulting - Strategy,Consulting,Strategy,Emily Taylor,Frank Mitchell,62,1,0.59
20,130,5/7/2012,5/1/2012,29,3190,0.02,110,3126.2,Roy Smith,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Cleveland,37311,Tennessee,South,5/8/2012,1,Development - Python,Development,Python,Alexander Edison,Frank Mitchell,70,1,0.36
21,130,5/7/2012,5/1/2012,23,4600,0.05,200,4370,Roy Smith,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Cleveland,37311,Tennessee,South,5/10/2012,3,Development - Big Data,Development,Big Data,William Bufont,Frank Mitchell,62,1,0.69
22,132,6/10/2010,6/1/2010,27,4050,0.03,150,3928.5,Emily Fortune,"Keurig Green Mountain, Inc.",Consumer Non-Durables,Packaged Foods,Avenel,7001,New Jersey,East,6/11/2010,1,Consulting - Market Research,Consulting,Market Research,Abigail Young,Allen Young,50,1,0.67
23,132,6/10/2010,6/1/2010,30,3750,0.05,125,3562.5,Emily Fortune,"Keurig Green Mountain, Inc.",Consumer Non-Durables,Packaged Foods,Lewiston,4240,Maine,East,6/13/2010,3,Training - Tableau,Training,Tableau,Ethan Bird,Allen Young,60,1,0.52
24,134,4/30/2012,4/1/2012,11,2200,0.01,200,2178,Michael Olson,Viacom Inc.,Consumer Services,Television Services,Brookfield,53005,Wisconsin,Central,5/2/2012,2,Development - Big Data,Development,Big Data,Jacob Manziel,Josh Martinez,57,1,0.72
25,135,10/20/2011,10/1/2011,25,3750,0.09,150,3412.5,Anne Van Hugh,"Keurig Green Mountain, Inc.",Consumer Non-Durables,Packaged Foods,Troy,12180,New York,East,10/22/2011,2,Consulting - Business Model,Consulting,Business Model,William Bufont,Allen Young,62,1,0.59
26,166,9/11/2011,9/1/2011,10,1500,0.02,150,1470,Valerie Pelletier,"Discovery Communications, Inc.",Consumer Services,Television Services,Tamarac,33319,Florida,South,9/13/2011,2,Consulting - Market Research,Consulting,Market Research,Isabella Douglas,Frank Mitchell,75,1,0.5
27,193,8/7/2010,8/1/2010,14,2800,0.06,200,2632,Justin McVee,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Bethpage,11714,New York,East,8/9/2010,2,Development - Big Data,Development,Big Data,Ethan Bird,Allen Young,60,1,0.7
28,194,4/4/2012,4/1/2012,49,6125,0.1,125,5512.5,Maria Ferguson,Liberty Media Corporation,Consumer Services,Broadcasting,West Linn,97068,Oregon,West,4/6/2012,2,Training - SQL,Training,SQL,Olivia Sullivan,Bob Turner,53,1,0.58
29,194,4/4/2012,4/1/2012,6,840,0.04,140,806.4,Maria Ferguson,Liberty Media Corporation,Consumer Services,Broadcasting,West Linn,97068,Oregon,West,4/6/2012,2,Development - Front End Web,Development,Front End Web,Ava Wilson,Bob Turner,67,1,0.52
30,195,12/27/2010,12/1/2010,34,4080,0.03,120,3957.6,Brad Fisher,Vodafone Group Plc,Public Utilities,Telecommunications Equipment,Long Beach,90805,California,West,12/29/2010,2,Development - Business Logic,Development,Business Logic,Ethan Bird,Bob Turner,60,1,0.5
31,197,4/6/2011,4/1/2011,23,3220,0.01,140,3187.8,Penelope Pistole,Microsoft Corporation,Technology,Computer Software: Prepackaged Software,Miramar,33023,Florida,South,4/8/2011,2,Development - Front End Web,Development,Front End Web,Mason Gibson,Frank Mitchell,71,1,0.49
32,224,6/17/2009,6/1/2009,25,3125,0.09,125,2843.75,Bart Armstrong,"Netflix, Inc.",Consumer Services,Consumer Electronics/Video Chains,Lemon Grove,91945,California,West,6/18/2009,1,Training - SQL,Training,SQL,Mia Moore,Bob Turner,51,1,0.59
33,224,6/17/2009,6/1/2009,44,4840,0.04,110,4646.4,Bart Armstrong,"Netflix, Inc.",Consumer Services,Consumer Electronics/Video Chains,Lemon Grove,91945,California,West,6/18/2009,1,Development - Python,Development,Python,Madison Hill,Bob Turner,58,1,0.47
34,224,6/17/2009,6/1/2009,33,6600,0.04,200,6336,Bart Armstrong,"Netflix, Inc.",Consumer Services,Consumer Electronics/Video Chains,Lemon Grove,91945,California,West,6/18/2009,1,Development - Big Data,Development,Big Data,Emma Watson,Bob Turner,67,1,0.67
35,225,5/24/2011,5/1/2011,24,2880,0.06,120,2707.2,Karen Gilpin,"Verisk Analytics, Inc.",Technology,EDP Services,Holbrook,11741,New York,East,5/25/2011,1,Development - Business Logic,Development,Business Logic,Sophia Dixon,Allen Young,71,1,0.41
36,225,5/24/2011,5/1/2011,1,120,0.05,120,114,Karen Gilpin,"Verisk Analytics, Inc.",Technology,EDP Services,Holbrook,11741,New York,East,5/26/2011,2,Development - Business Logic,Development,Business Logic,Alexander Edison,Allen Young,70,1,0.42
37,229,12/28/2010,12/1/2010,43,5375,0.11,125,4783.75,Matt French,"Paychex, Inc.",Consumer Services,Diversified Commercial Services,Blaine,55434,Minnesota,Central,12/30/2010,2,Training - SQL,Training,SQL,Madison Hill,Josh Martinez,58,1,0.54
38,229,12/28/2010,12/1/2010,24,3840,0.02,160,3763.2,Peter Abelman,NVIDIA Corporation,Technology,Semiconductors,Atlanta,30318,Georgia,South,12/29/2010,1,Development - Java,Development,Java,Elizabeth Carter,Frank Mitchell,52,1,0.68
39,230,10/26/2010,10/1/2010,47,5640,0.06,120,5301.6,Erin Dona,KLA-Tencor Corporation,Capital Goods,Electronic Components,Burleson,76028,Texas,Central,10/28/2010,2,Development - Business Logic,Development,Business Logic,Elizabeth Carter,Josh Martinez,52,1,0.57
40,230,10/26/2010,10/1/2010,11,1650,0.06,150,1551,Erin Dona,KLA-Tencor Corporation,Capital Goods,Electronic Components,Burleson,76028,Texas,Central,10/28/2010,2,Consulting - Market Research,Consulting,Market Research,Noah Smith,Josh Martinez,59,1,0.61
41,231,9/28/2009,9/1/2009,2,340,0.06,170,319.6,Sean Witt,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Hollywood,33021,Florida,South,9/30/2009,2,Development - .Net,Development,Python,Jacob Manziel,Frank Mitchell,57,1,0.66
42,258,12/28/2010,12/1/2010,21,2310,0,110,2310,Liz Vernon,Google Inc.,Technology,"Computer Software: Programming, Data Processing",Auburn,4210,Maine,East,12/30/2010,2,Development - Python,Development,Java,Emma Watson,Allen Young,67,1,0.39
43,258,12/28/2010,12/1/2010,7,1400,0,200,1400,Liz Vernon,Google Inc.,Technology,"Computer Software: Programming, Data Processing",Brunswick,4011,Maine,East,12/29/2010,1,Development - Big Data,Development,Java,Abigail Young,Allen Young,50,1,0.75
44,258,12/28/2010,12/1/2010,33,5280,0.02,160,5174.4,Liz Vernon,Google Inc.,Technology,"Computer Software: Programming, Data Processing",Hudson,3051,New Hampshire,East,12/30/2010,2,Development - Java,Development,PHP,Michael Alister,Allen Young,68,1,0.58
45,261,6/28/2010,6/1/2010,47,7050,0.04,150,6768,Sonia Kane,Marriott International,Consumer Services,Hotels/Resorts,Garden City,67846,Kansas,Central,6/29/2010,1,Consulting - Market Research,Consulting,Java,Ethan Bird,Josh Martinez,60,1,0.6
46,263,5/16/2009,5/1/2009,25,4000,0.09,160,3640,Paul Carmichael,Liberty Media Corporation,Consumer Services,Broadcasting,Davis,95616,California,West,5/17/2009,1,Development - Java,Development,Market Research,Abigail Young,Bob Turner,50,1,0.69
47,290,1/5/2009,1/1/2009,24,2640,0.05,110,2508,Dorris Engle,Costco Wholesale Corporation,Consumer Services,Department/Specialty Retail Stores,Deer Park,11729,New York,East,1/6/2009,1,Development - Python,Development,Python,Ava Wilson,Allen Young,67,1,0.39
48,292,1/12/2012,1/1/2012,43,4730,0.08,110,4351.6,Valerie Pelletier,"Discovery Communications, Inc.",Consumer Services,Television Services,Taylors,29687,South Carolina,South,1/13/2012,1,Development - PHP,Development,PHP,Alexander Edison,Frank Mitchell,70,1,0.36
49,293,10/1/2012,10/1/2012,49,8330,0.07,170,7746.9,Barry Myrick,Monster Beverage Corporation,Consumer Non-Durables,Beverages (Production/Distribution),Tinley Park,60477,Illinois,Central,10/2/2012,1,Development - .Net,Development,Python,Ethan Bird,Josh Martinez,60,1,0.65
50,293,10/1/2012,10/1/2012,27,4320,0.01,160,4276.8,Barry Myrick,Monster Beverage Corporation,Consumer Non-Durables,Beverages (Production/Distribution),Tinley Park,60477,Illinois,Central,10/3/2012,2,Development - Java,Development,Market Research,Sophia Dixon,Josh Martinez,71,1,0.56
51,294,7/15/2010,7/1/2010,35,7000,0.06,200,6580,Sanjit Hendricks,"Discovery Communications, Inc.",Consumer Services,Television Services,Urbandale,50322,Iowa,Central,7/16/2010,1,Development - Big Data,Development,Market Research,Alexander Edison,Josh Martinez,70,1,0.65
52,322,3/18/2012,3/1/2012,20,3000,0.08,150,2760,Giulietta Black,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Allen Park,48101,Michigan,Central,3/20/2012,2,Consulting - Market Research,Consulting,Java,Abigail Young,Josh Martinez,50,1,0.67
53,322,3/18/2012,3/1/2012,46,5060,0.1,110,4554,Giulietta Black,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Ann Arbor,48104,Michigan,Central,3/20/2012,2,Development - Python,Development,Database,Michael Alister,Josh Martinez,68,1,0.38
54,323,3/25/2009,3/1/2009,20,2200,0.07,110,2046,Dario Wiediger,"Stericycle, Inc.",Basic Industries,Environmental Services,Scottsdale,85254,Arizona,West,3/27/2009,2,Development - PHP,Development,Business Logic,Sophia Dixon,Bob Turner,71,1,0.35
55,323,3/25/2009,3/1/2009,2,220,0.06,110,206.8,Dario Wiediger,"Stericycle, Inc.",Basic Industries,Environmental Services,Scottsdale,85254,Arizona,West,3/27/2009,2,Development - Python,Development,Market Research,Olivia Sullivan,Bob Turner,53,1,0.52
56,324,3/19/2012,3/1/2012,25,3750,0.02,150,3675,Frank Price,"Micron Technology, Inc.",Technology,Semiconductors,Sanford,27237,North Carolina,South,3/21/2012,2,Consulting - Market Research,Consulting,Tableau,Noah Smith,Frank Mitchell,59,1,0.61
57,325,10/16/2010,10/1/2010,9,1350,0.06,150,1269,Craig Donatelli,"O'Reilly Automotive, Inc.",Consumer Services,Other Specialty Stores,Sanford,4073,Maine,East,10/20/2010,4,Consulting - Market Research,Consulting,Business Model,Mason Gibson,Allen Young,71,1,0.53
58,326,6/3/2011,6/1/2011,34,5440,0.03,160,5276.8,Michelle Crier,"Automatic Data Processing, Inc.",Technology,EDP Services,Columbia,21044,Maryland,East,6/4/2011,1,Development - Java,Development,Javascript,Elizabeth Carter,Allen Young,52,1,0.68
59,326,6/3/2011,6/1/2011,17,2380,0.05,140,2261,Michelle Crier,"Automatic Data Processing, Inc.",Technology,EDP Services,Crofton,21114,Maryland,East,6/4/2011,1,Development - Database,Development,Javascript,Olivia Sullivan,Allen Young,53,1,0.62
60,353,12/30/2010,12/1/2010,21,2520,0.02,120,2469.6,Dean Barcio,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,Redwood City,94061,California,West,4/1/2011,92,Development - Business Logic,Development,Scala,Sophia Dixon,Bob Turner,71,1,0.41
61,355,6/13/2009,6/1/2009,16,2400,0,150,2400,Henry Foster,Avago Technologies Limited,Technology,Semiconductors,College Station,77840,Texas,Central,6/18/2009,5,Consulting - Market Research,Consulting,Business Logic,Ava Wilson,Josh Martinez,67,1,0.55
62,358,9/19/2010,9/1/2010,33,4125,0.02,125,4042.5,Ricardo Craven,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Lewiston,83501,Idaho,West,9/21/2010,2,Training - Tableau,Training,.Net,Abigail Young,Bob Turner,50,1,0.6
63,358,9/19/2010,9/1/2010,33,4950,0.07,150,4603.5,Ricardo Craven,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Lewiston,83501,Idaho,West,9/19/2010,0,Consulting - Business Model,Consulting,Market Research,Alexander Edison,Bob Turner,70,1,0.53
64,359,12/18/2009,12/1/2009,30,3750,0.08,125,3450,Cari Radford,Biogen Idec Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Pleasant Grove,84062,Utah,West,12/19/2009,1,Training - Javascript,Training,Strategy,Alexander Edison,Bob Turner,70,1,0.44
65,384,3/2/2012,3/1/2012,50,6250,0.02,125,6125,Sonia Workman,Liberty Interactive Corporation,Consumer Services,Catalog/Specialty Distribution,Bend,97701,Oregon,West,3/9/2012,7,Training - Javascript,Training,Big Data,Elizabeth Carter,Bob Turner,52,1,0.58
66,386,1/24/2011,1/1/2011,4,800,0.02,200,784,Tracy Miller,"Charter Communications, Inc.",Consumer Services,Television Services,Mount Vernon,43050,Ohio,East,1/26/2011,2,Development - Scala,Development,Python,Madison Hill,Allen Young,58,1,0.71
67,386,1/24/2011,1/1/2011,4,480,0.09,120,436.8,Tracy Miller,"Charter Communications, Inc.",Consumer Services,Television Services,Mount Vernon,43050,Ohio,East,1/26/2011,2,Development - Business Logic,Development,Python,Mia Moore,Allen Young,51,1,0.58
68,388,12/15/2012,12/1/2012,46,7820,0.06,170,7350.8,Jennifer Grady,"Fiserv, Inc.",Technology,EDP Services,Bartlesville,74006,Oklahoma,Central,12/18/2012,3,Development - .Net,Development,Market Research,Mia Moore,Josh Martinez,51,1,0.7
69,416,9/26/2010,9/1/2010,20,3000,0.01,150,2970,Stuart Engle,The Priceline Group Inc.,Miscellaneous,Business Services,Grove City,43123,Ohio,East,10/1/2010,5,Consulting - Market Research,Consulting,SQL,Mia Moore,Allen Young,51,1,0.66
70,417,2/5/2009,2/1/2009,39,5850,0.07,150,5440.5,Robert Pistek,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,East Los Angeles,90022,California,West,2/6/2009,1,Consulting - Strategy,Consulting,Business Logic,Olivia Sullivan,Bob Turner,53,1,0.65
71,417,2/5/2009,2/1/2009,3,600,0.1,200,540,Robert Pistek,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,East Los Angeles,90022,California,West,2/7/2009,2,Development - Big Data,Development,Big Data,Emily Taylor,Bob Turner,62,1,0.69
72,420,10/30/2011,10/1/2011,8,880,0.09,110,800.8,Tony Lucas,Celgene Corporation,Health Care,Major Pharmaceuticals,Marysville,98270,Washington,West,10/30/2011,0,Development - Python,Development,Database,Isabella Douglas,Bob Turner,75,1,0.32
73,420,10/30/2011,10/1/2011,6,660,0.03,110,640.2,Tony Lucas,Celgene Corporation,Health Care,Major Pharmaceuticals,Marysville,98270,Washington,West,11/1/2011,2,Development - Python,Development,Market Research,Noah Smith,Bob Turner,59,1,0.46
74,448,8/20/2011,8/1/2011,22,3300,0.09,150,3003,Brad Fisher,Vodafone Group Plc,Public Utilities,Telecommunications Equipment,Long Beach,90805,California,West,8/22/2011,2,Consulting - Market Research,Consulting,Market Research,Ava Wilson,Bob Turner,67,1,0.55
75,449,7/19/2011,7/1/2011,45,5625,0.02,125,5512.5,Candace Kendrick,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,San Marcos,78666,Texas,Central,7/21/2011,2,Training - SQL,Training,.Net,Michael Alister,Josh Martinez,68,1,0.46
76,450,3/4/2011,3/1/2011,29,3480,0.05,120,3306,Matt Miller,PACCAR Inc.,Capital Goods,Auto Manufacturing,Fort Dodge,50501,Iowa,Central,3/5/2011,1,Development - Business Logic,Development,Development,Alexander Edison,Josh Martinez,70,1,0.42
77,450,3/4/2011,3/1/2011,35,7000,0.05,200,6650,Matt Miller,PACCAR Inc.,Capital Goods,Auto Manufacturing,Fort Dodge,50501,Iowa,Central,3/6/2011,2,Development - Big Data,Development,Big Data,Emma Watson,Josh Martinez,67,1,0.67
78,454,12/26/2011,12/1/2011,42,5880,0.09,140,5350.8,Darrin Cousins,Tractor Supply Company,Consumer Services,RETAIL: Building Materials,Altoona,16602,Pennsylvania,East,12/28/2011,2,Development - Database,Development,Development,Noah Smith,Allen Young,59,1,0.58
79,481,10/7/2012,10/1/2012,44,6600,0.01,150,6534,Art Coram,Liberty Global plc,Consumer Services,Television Services,Highlands Ranch,80126,Colorado,West,10/9/2012,2,Consulting - Market Research,Consulting,.Net,Abigail Young,Bob Turner,50,1,0.67
80,483,7/10/2011,7/1/2011,30,4500,0.08,150,4140,Clay Polking,Marriott International,Consumer Services,Hotels/Resorts,Rock Island,61201,Illinois,Central,7/12/2011,2,Consulting - Market Research,Consulting,SQL,Isabella Douglas,Josh Martinez,75,1,0.5
81,487,8/17/2012,8/1/2012,19,3230,0.07,170,3003.9,Valerie Bell,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software,Orlando,32839,Florida,South,8/18/2012,1,Development - .Net,Development,Scala,Abigail Young,Frank Mitchell,50,1,0.71
82,512,5/19/2011,5/1/2011,6,750,0.06,125,705,Sam Haberlin,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,East Point,30344,Georgia,South,5/19/2011,0,Training - Development,Training,Python,Isabella Douglas,Frank Mitchell,75,1,0.4
83,512,5/19/2011,5/1/2011,48,9600,0.01,200,9504,Sam Haberlin,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,East Point,30344,Georgia,South,5/21/2011,2,Development - Big Data,Development,Market Research,Abigail Young,Frank Mitchell,50,1,0.75
84,513,4/30/2011,4/1/2011,33,4125,0,125,4125,Arthur Howell,Liberty Media Corporation,Consumer Services,Broadcasting,Cleveland,44105,Ohio,East,4/30/2011,0,Training - Development,Training,Python,Emma Watson,Allen Young,67,1,0.46
85,515,8/28/2010,8/1/2010,19,3230,0.08,170,2971.6,Carlos McAfee,"Charter Communications, Inc.",Consumer Services,Television Services,Wheeling,60090,Illinois,Central,8/30/2010,2,Development - .Net,Development,Python,Jacob Manziel,Josh Martinez,57,1,0.66
86,515,8/28/2010,8/1/2010,21,2625,0.05,125,2493.75,Carlos McAfee,"Charter Communications, Inc.",Consumer Services,Television Services,Wilmette,60091,Illinois,Central,8/30/2010,2,Training - SQL,Training,Big Data,Ethan Bird,Josh Martinez,60,1,0.52
87,548,9/20/2009,9/1/2009,41,8200,0.04,200,7872,Sung Fox,"Regeneron Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,Murray,42071,Kentucky,South,9/21/2009,1,Development - Scala,Development,Python,Ava Wilson,Frank Mitchell,67,1,0.67
88,548,9/20/2009,9/1/2009,29,3190,0.02,110,3126.2,Sung Fox,"Regeneron Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,Murray,42071,Kentucky,South,9/21/2009,1,Development - Python,Development,Big Data,Emily Taylor,Frank Mitchell,62,1,0.44
89,548,9/20/2009,9/1/2009,26,3900,0.04,150,3744,Sung Fox,"Regeneron Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,Murray,42071,Kentucky,South,9/22/2009,2,Consulting - Market Research,Consulting,Python,Emily Taylor,Frank Mitchell,62,1,0.59
90,549,7/12/2012,7/1/2012,13,1430,0.03,110,1387.1,Ken Budd,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Monroeville,15146,Pennsylvania,East,7/13/2012,1,Development - Python,Development,Market Research,Madison Hill,Allen Young,58,1,0.47
91,549,7/12/2012,7/1/2012,5,550,0.05,110,522.5,Ken Budd,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Monroeville,15146,Pennsylvania,East,7/13/2012,1,Development - Python,Development,Java,Emily Taylor,Allen Young,62,1,0.44
92,549,7/12/2012,7/1/2012,30,6000,0.05,200,5700,Ken Budd,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Monroeville,15146,Pennsylvania,East,7/12/2012,0,Development - Big Data,Development,Big Data,Mason Gibson,Allen Young,71,1,0.65
93,610,8/1/2011,8/1/2011,38,4180,0.02,110,4096.4,Joe Zeldin,Liberty Media Corporation,Consumer Services,Broadcasting,Fayetteville,72701,Arkansas,South,8/3/2011,2,Development - Python,Development,SQL,Noah Smith,Frank Mitchell,59,1,0.46
94,611,1/26/2010,1/1/2010,47,9400,0.04,200,9024,Arthur Howell,Liberty Media Corporation,Consumer Services,Broadcasting,Cleveland,44105,Ohio,East,1/28/2010,2,Development - Big Data,Development,Javascript,Abigail Young,Allen Young,50,1,0.75
95,612,10/20/2012,10/1/2012,50,5500,0.1,110,4950,Sheri Talbott,"Kraft Foods Group, Inc.",Consumer Non-Durables,Packaged Foods,Van Buren,72956,Arkansas,South,10/22/2012,2,Development - Python,Development,Tableau,Michael Alister,Frank Mitchell,68,1,0.38
96,612,10/20/2012,10/1/2012,43,6450,0.01,150,6385.5,Sheri Talbott,"Kraft Foods Group, Inc.",Consumer Non-Durables,Packaged Foods,Van Buren,72956,Arkansas,South,10/22/2012,2,Consulting - Market Research,Consulting,Python,Alexander Edison,Frank Mitchell,70,1,0.53
97,613,6/17/2011,6/1/2011,12,1920,0.03,160,1862.4,Carl Block,CA Inc.,Technology,Computer Software: Prepackaged Software,Waukegan,60087,Illinois,Central,6/17/2011,0,Development - Java,Development,Big Data,Elizabeth Carter,Josh Martinez,52,1,0.68
98,613,6/17/2011,6/1/2011,22,4400,0.09,200,4004,Carl Block,CA Inc.,Technology,Computer Software: Prepackaged Software,Waukegan,60087,Illinois,Central,6/18/2011,1,Development - Big Data,Development,Development,Alexander Edison,Josh Martinez,70,1,0.65
99,614,11/30/2012,11/1/2012,41,5125,0,125,5125,Dave Hart,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Camp Springs,20746,Maryland,East,12/2/2012,2,Training - SQL,Training,Java,Mia Moore,Allen Young,51,1,0.59
100,614,11/30/2012,11/1/2012,24,3000,0.07,125,2790,Dave Hart,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment,Camp Springs,20746,Maryland,East,12/1/2012,1,Training - Javascript,Training,Front End Web,Alexander Edison,Allen Young,70,1,0.44
101,640,1/22/2010,1/1/2010,39,4875,0.02,125,4777.5,Tamara Turnell,Seagate Technology.,Technology,Electronic Components,Pasadena,77506,Texas,Central,1/23/2010,1,Training - Tableau,Training,Python,Abigail Young,Josh Martinez,50,1,0.6
102,640,1/22/2010,1/1/2010,24,2640,0.01,110,2613.6,Tamara Turnell,Seagate Technology.,Technology,Electronic Components,Pasadena,77506,Texas,Central,1/23/2010,1,Development - Python,Development,Business Logic,Abigail Young,Josh Martinez,50,1,0.55
